compound_name,SMILES,DTXSID,pmids,n_articles
Ethylene glycol,C(CO)O,DTXSID4027862,"['36200268', '36112532', '36112403', '36056708', '35960930', '35933263', '35914327', '35785899', '35762903', '35748430', '35728290', '35665442', '35639628', '35612299', '35476401', '35461626', '35451912', '35389215', '35384951', '35345787', '35344144', '35331785', '35323087', '35311442', '35283093', '35259439', '35245730', '35201508', '35114374', '35091947', '35085734', '35077153', '35062420', '35057891', '35043364', '35023765', '35014479', '34983538', '34978586', '34974128', '34928342', '34902516', '34897348', '34893950', '34883469', '34872393', '34846863', '34831097', '34730209', '34709587', '34709101', '34697779', '34661718', '34602004', '34592673', '34585641', '34569234', '34559545', '34550683', '34490142', '34483010', '34478798', '34472829', '34453367', '34425118', '34400681', '34399120', '34391850', '34384220', '34324807', '34296823', '34288640', '34282895', '34278906', '34256560', '34237409', '34229725', '34180752', '34169439', '34117588', '34110773', '34092022', '34068190', '34053711', '34022404', '34021726', '34014665', '33948878', '33890489', '33866910', '33856763', '33848558', '33796952', '33757335', '33744053', '33691185', '33681995', '33647413', '33640747', '33635046']",100
Indinavir,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5,DTXSID4043802,"['34268580', '33289591', '32535746', '30659543', '30264826', '30177238', '29912896', '29500080', '29355304', '28951049', '28562480', '28257659', '28074467', '28007196', '27682209', '27470026', '27379616', '27345270', '26741368', '25987489', '24827777', '24719186', '24699873', '24487230', '23958399', '23775562', '24937386', '23145925', '23050508', '22759796', '22313963', '22267924', '21819808', '21819637', '21682753', '21383652', '21348539', '21233689', '21212689', '21175298', '21130153', '20621964', '20617515', '20452889', '20203258', '20035926', '20014428', '20005491', '19958227', '19931478', '19865000', '19776778', '19709326', '19429260', '19226409', '18680693', '19028822', '18991620', '18819474', '18753863', '18713456', '18690961', '18613857', '18553024', '18543703', '18536180', '18490433', '18482965', '18172783', '18154489', '17910618', '17707845', '17698320', '17690876', '17669453', '17539743', '17472541', '17430758', '17417069', '17351982', '17310826', '17309342', '17302251', '17168768', '17158945', '17105238', '17071065', '17044450', '17015049', '17004125', '16895939', '16652054', '16640103', '16639337', '16634006', '16619164', '16595641', '16436740', '16433896', '16312175']",100
Triamterene,C1=CC=C(C=C1)C2=NC3=C(N=C(N=C3N=C2N)N)N,DTXSID6021373,"['34423678', '33318242', '32772236', '31171176', '26855365', '26763396', '23958399', '22187020', '21323865', '21193005', '17652006', '11797818', '11601497', '10528423', '9140146', '9109165', '8794885', '8883963', '8609155', '8652262', '7826906', '7919641', '8127086', '8452660', '1507935', '2335047', '2752698', '2674028', '3045028', '3410590', '3314523', '3812475', '3727353', '3958920', '4077309', '3939661', '6363492', '6536838', '6324540', '6671185', '6344336', '7118322', '7104176', '6949485', '7287241', '6917682', '7254119', '7286039', '7267481', '6450011', '7005123', '6774668', '7210014', '464344', '907870', '870273', '4408184', '4801036', '4569496', '5317801', '4293862', '14259336', '14256694', '14288435', '14259692', '14253093', '14234267', '14241933', '14225415', '14243651', '14128589', '14106700']",72
Ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,DTXSID8022824,"['36233112', '36228308', '36161816', '36099764', '36063618', '36063617', '36040292', '36008360', '35987282', '35985438', '35963131', '35949077', '35909468', '35897172', '35868578', '35834855', '35820634', '35752026', '35732109', '35709194', '35691172', '35658642', '35579463', '35525510', '35524073', '35508593', '35409687', '35344332', '35339554', '35331798', '35306083', '35274591', '35187767', '35151848', '35151818', '35151733', '34968436', '34952454', '34908453', '34885701', '34837416', '34817415', '34811616', '34769400', '34711017', '34697899', '34658275', '34648192', '34641424', '34633841', '34624797', '34607871', '34596816', '34492321', '34385999', '34384193', '34329788', '34285735', '34242839', '34157739', '34129542', '34126118', '34116184', '34089943', '34060250', '34038876', '33979269', '33978317', '33889228', '33864401', '33852713', '33818825', '33818360', '33805783', '33768682', '33739012', '33725760', '33604693', '33548726', '33481681', '33445031', '33435852', '33410424', '33410011', '33374514', '33171188', '33165876', '33130342', '33094803', '33044496', '33021437', '32974221', '32915525', '32898623', '32807214', '32717280', '32712655', '32703212', '32691293', '32677000']",100
Orlistat,CCCCCCCCCCC[C@@H](C[C@H]1[C@@H](C(=O)O1)CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,DTXSID8023395,"['35678800', '35164166', '34812408', '34450168', '34447241', '34236914', '33974005', '33664007', '33476690', '32735172', '32045588', '32001767', '31794911', '31678479', '31540318', '31407389', '31235475', '30667213', '30465055', '29388462', '28387458', '28372259', '27707005', '27236593', '26873414', '26132857', '26078966', '25826164', '25450865', '24747066', '24731666', '24594374', '24262967', '24214182', '24164572', '23243925', '23228697', '22886728', '22351299', '22151915', '21859367', '21265828', '18281512', '18263716', '17600043', '17168665', '17002599', '12468417', '11360729', '9653954']",50
Sulfamethoxazole,CC1=CC(NS(=O)(=O)C2=CC=C(N)C=C2)=NO1,DTXSID8026064,"['36234772', '36181120', '36063618', '36059444', '36000348', '35908709', '35886459', '35789041', '35594950', '35507359', '35274281', '35244054', '35151848', '35032952', '34994822', '34952454', '34932308', '34850240', '34658275', '34652459', '34607130', '34450549', '34384193', '34212341', '34153908', '34149005', '34143917', '34129542', '34060145', '34030479', '33984411', '33979944', '33932610', '33837441', '33781536', '33770679', '33767092', '33586654', '33499398', '33481681', '33471786', '33445031', '33410011', '33212356', '33166902', '33128367', '33094803', '33068096', '33025449', '32957895', '32886308', '32877707', '32850118', '32836119', '32819690', '32815205', '32791162', '32740115', '32690376', '32618880', '32564343', '32517338', '32493505', '32470670', '32469652', '32452529', '32390087', '32174263', '32171137', '32159798', '32058621', '32032889', '31926883', '31899808', '31865205', '31813705', '31702484', '31690398', '31689637', '31683373', '31610183', '31495421', '31468968', '31400461', '31386941', '31362706', '31351491', '31176699', '31166019', '31142578', '31128553', '31117303', '31055743', '31038898', '30961507', '30871868', '30862698', '30768973', '30734913', '30714529']",100
Ganciclovir,C1=NC2=C(N1COC(CO)CO)N=C(NC2=O)N,DTXSID8041032,"['36229873', '36095884', '35857843', '35842662', '35840432', '35790275', '35761406', '35709898', '35658598', '35604549', '35575775', '35499094', '35485337', '35433502', '35314347', '35288419', '35240904', '35163086', '35159311', '35122895', '35107143', '35064735', '35041813', '35017150', '34984735', '34981553', '34864943', '34794463', '34781859', '34649759', '34610621', '34596243', '34556034', '34534396', '34373740', '34353627', '34289135', '34247579', '34234136', '34160036', '34130467', '34075624', '34065234', '34050910', '34045451', '33866643', '33862205', '33801024', '33755191', '33744428', '33664251', '33588005', '33566625', '33515202', '33480376', '33421169', '33373493', '33220125', '33201745', '33197929', '33069641', '32958548', '32843706', '32522809', '32492014', '32488835', '32423968', '32409608', '32315708', '32134483', '32105943', '31981100', '31940473', '31830223', '31813002', '31801863', '31654672', '31621449', '31521130', '31514101', '31343571', '31282759', '31148201', '31054984', '30941593', '30912764', '30829057', '30681598', '30586840', '30282000', '30154125', '30096997', '30061600', '29989279', '29960051', '29896671', '29845211', '29790481', '29712633', '29650261']",100
Atazanavir,CC(C)(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@H](CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)[C@H](C(C)(C)C)NC(=O)OC)O)NC(=O)OC,DTXSID9048691,"['35512339', '35478219', '34729853', '34030726', '33865542', '33819548', '33755736', '33568498', '33542445', '33336316', '33285497', '33232579', '33211746', '33079903', '33010058', '32746923', '32737860', '31971958', '31702484', '31481446', '31273376', '31262902', '31092094', '31050739', '30961507', '30817698', '30746609', '30735677', '30654739', '30642925', '30589990', '30264826', '30261855', '30247099', '30235244', '29940869', '29523599', '29493419', '29395300', '29216346', '29210336', '28947797', '28893794', '28816009', '28595364', '28443391', '28403692', '28287204', '28263463', '28109702', '28093483', '28065890', '28063966', '27789848', '27664801', '27743681', '27655858', '27631261', '27629070', '27583590', '27515949', '27470026', '27447851', '27328703', '27328632', '27077673', '27068399', '27029846', '26867136', '26848975', '26822040', '26741368', '26684554', '26679853', '26561496', '26308175', '26248122', '26148204', '26082630', '26067216', '26062881', '26009830', '25938588', '25875091', '25872972', '25870991', '25706092', '25608975', '25599649', '25565175', '25461911', '25383770', '25288084', '25285539', '25139963', '25106410', '25038359', '24920821', '24896804', '24827777']",100
Dexamethasone,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,DTXSID3020384,"['36181088', '36156013', '36085302', '36075474', '35995956', '35989089', '35988191', '35981376', '35977468', '35961178', '35927182', '35917939', '35917869', '35910849', '35878206', '35872700', '35859298', '35857057', '35856702', '35815645', '35797277', '35796524', '35790453', '35788622', '35787495', '35776736', '35768036', '35737873', '35736168', '35724920', '35721734', '35708709', '35706350', '35705957', '35699890', '35682634', '35674751', '35654466', '35642410', '35635557', '35618337', '35618032', '35608183', '35596773', '35595036', '35585247', '35580642', '35575775', '35569518', '35550060', '35549595', '35534000', '35499209', '35489026', '35488778', '35488603', '35487926', '35483669', '35483561', '35452752', '35434928', '35399095', '35395080', '35394550', '35392141', '35367871', '35361865', '35352912', '35351429', '35349834', '35347107', '35338432', '35305615', '35285617', '35274678', '35274460', '35271306', '35266720', '35254187', '35246426', '35245629', '35240234', '35219660', '35202713', '35196843', '35171571', '35166808', '35158070', '35152852', '35151415', '35148621', '35143883', '35132679', '35131486', '35113384', '35112275', '35094855', '35088108', '35075109', '35062105']",100
Acarbose,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](OC([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@H]([C@@H]([C@H]4O)O)O)CO,DTXSID8046034,"['36006763', '35962694', '35889399', '35421528', '35217120', '35164238', '35064587', '34890431', '34678724', '34634473', '34467580', '34459690', '34438122', '34411978', '34302410', '34187119', '34186120', '34013660', '33870453', '33847536', '33754231', '33645019', '33609917', '33588241', '33143632', '32947132', '32544738', '32450572', '32396744', '32316255', '31553294', '31478295', '31374224', '31323233', '31318693', '31255972', '31226384', '31112894', '30878528', '30863989', '30522092', '30499400', '30167968', '29807519', '29435808', '29425652', '29421703', '28585419', '28558824', '28288931', '28216594', '28097882', '27668542', '27592296', '27196881', '26906899', '26826824', '26505295', '26145710', '25887793', '25490313', '25486965', '25431253', '25305717', '24506051', '24485397', '23211442', '22512574', '20964454', '20600532', '20518580', '18194825', '16784969', '16784967', '16688114', '16675650', '15704053', '15213063', '15135857', '12877088', '12843856', '12699398', '12016548', '11360729', '11213597', '10528419', '10383254', '9872041', '9862881', '9647342', '9036569', '8521759', '7648818', '1280577', '1775731', '3467980', '6698657']",97
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,DTXSID2022628,"['36234730', '36029011', '35174631', '34398250', '34182968', '34112223', '32580697', '32400211', '32310006', '31456048', '31347707', '31261852', '31054558', '30916882', '30430263', '30314487', '30107356', '29996172', '29627347', '29523832', '29332838', '29216899', '28692870', '28353311', '28320606', '28267687', '27758931', '27043355', '27272938', '27196698', '26310944', '26184376', '26139101', '25791321', '25679017', '25629351', '25251994', '25205296', '25146229', '25042244', '25042090', '24746907', '24216300', '24135075', '23993643', '23872579', '23726788', '23521647', '23465038', '23330992', '23229304', '23180677', '23046209', '22554863', '22391854', '22180356', '21936672', '20865460', '19932191', '19886730', '19776295', '19659504', '19632245', '19616087', '19589230', '19538012', '19343827', '19156840', '18642016', '18316173', '18082161', '18048368', '18000220', '17702326', '17498763', '17458043', '17449161', '17420778', '17369603', '17180995', '17175206', '17003101', '16962148', '16700816', '16646487', '16448880', '16410160', '16364056', '16238231', '16168172', '16125623', '15958573', '15810898', '15679475', '15595665', '15066710', '14971294', '14761075', '12797460', '12773754']",100
Mercury bichloride,Cl[Hg]Cl,DTXSID5020811,"['35952450', '35876485', '35338461', '35066093', '34653346', '34641388', '33670495', '33581407', '33508353', '33497711', '33096358', '32879258', '32795733', '32502906', '32488074', '32436095', '32130595', '32064576', '31881207', '31745719', '31433682', '31431119', '31419505', '31338744', '30890469', '30699443', '30612358', '30278831', '29966875', '29859861', '29849921', '29453693', '29045746', '28980197', '28936834', '28889024', '28084611', '27473830', '27149575', '27005597', '26969059', '26887227', '26811906', '26768998', '26493433', '26302930', '26065488', '26030690', '25829334', '25766885', '25696992', '25692400', '25645230', '25490951', '25461680', '25389045', '25376339', '25256944', '25237059', '25043152', '24853303', '24574037', '24472606', '24118919', '24012530', '23770019', '23760886', '23650045', '23615071', '23541843', '23523984', '23392568', '23314532', '23302034', '23245310', '23202902', '22980813', '22980357', '22960887', '22910795', '22822941', '22785175', '22657747', '22047715', '21984481', '21820078', '21809940', '21793797', '21628964', '21543460', '21343884', '21342229', '21308892', '21288457', '21250601', '21244751', '21195143', '21167262', '21134393', '22416658']",100
Irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,DTXSID0023169,"['36102878', '34483252', '33461698', '33095289', '32939821', '32660480', '32087363', '31771343', '31765038', '30989447', '30351976', '29753615', '29635129', '28386752', '28374982', '27750081', '27474928', '27362285', '27216792', '27022066', '26573717', '26086883', '25918729', '25265498', '24746907', '23949470', '23928507', '23692319', '23335130', '22550277', '22089532', '21549588', '21423028', '20516556', '20488839', '19567357', '19491003', '18043483', '17175206', '16148610', '15277329', '14728886', '12862505', '12452749', '12023685', '11465916', '11465913', '11412142', '11333013', '10877007', '10443311', '9607385', '7698170']",53
Aristolochic acid,COC1=CC=CC2=C3C(=C(C=C21)[N+](=O)[O-])C(=CC4=C3OCO4)C(=O)O,DTXSID0040969,"['35854147', '35850825', '35765703', '35471859', '35409033', '35391592', '35352538', '35342337', '35307501', '35231474', '35025763', '34678993', '34677723', '34673015', '34669303', '34463271', '34453743', '34255491', '34247476', '34235731', '34232183', '34223934', '34156251', '34125507', '34052351', '33991998', '33955513', '33938965', '33923686', '33808971', '33722575', '33617966', '33609952', '33448693', '33410325', '33367723', '33277322', '33212167', '33186629', '33034907', '33004515', '32980485', '32975111', '32945497', '32908640', '32701724', '32607094', '32498221', '32245589', '32147004', '32119997', '32050524', '32029730', '31882686', '31739654', '31692012', '31685313', '31602497', '31564696', '31443125', '31261684', '31072444', '31054628', '31048001', '31013255', '31009690', '30940547', '30827336', '30633770', '30548302', '30381256', '30372791', '30346143', '30258149', '29853376', '29655784', '29615394', '29600603', '29551056', '29528146', '29288399', '29271138', '29215709', '29209916', '29202460', '29120619', '29026167', '28981366', '28959856', '28901401', '28803055', '28755953', '28477877', '28476556', '28391552', '28386751', '28192889', '28146082', '28126415', '27763560']",100
